Unnamed: 0,property_id,city,locality,locality_tier,property_type,bhk,bathrooms,balconies,built_up_area,carpet_area,floor_number,total_floors,floor_category,facing,furnishing_status,property_age,parking_spaces,security_score,gym_available,swimming_pool,power_backup,lift_available,maintenance_fee_monthly,distance_to_city_center_km,distance_to_metro_km,nearby_schools,nearby_hospitals,transaction_type,price_category,price_in_lakhs,Housing Price Predicted Value
28,PROP-037238,Delhi,South Delhi,Premium,Studio,1,1,1,479,410,8,13,Mid (5-9),North-West,Fully Furnished,3,0,6.4,0,0,1,1,1986,6.3,3.0,2,1,Resale,Low,61.09,66.36710000000005
29,PROP-033110,Bangalore,Indiranagar,Premium,Row House,4,4,0,1959,1652,16,17,High (10-19),North,Unfurnished,2,3,8.1,0,0,0,1,3045,7.7,3.2,5,1,New,High,315.13,314.1414000000001
30,PROP-036481,Bangalore,Koramangala,Premium,Row House,2,2,3,998,867,12,13,High (10-19),North,Fully Furnished,2,2,5.3,0,0,1,1,3242,4.5,0.4,4,1,New,Low,185.5,169.68720000000005
31,PROP-024149,Delhi,Noida Sector 62,Standard,Apartment,3,3,1,1647,1340,3,8,Low (1-4),East,Semi-Furnished,2,3,4.9,0,0,1,1,2688,11.7,2.2,2,2,Resale,Low,177.13,137.7714
32,PROP-005504,Bangalore,Koramangala,Premium,Villa,4,4,4,2348,1924,10,14,High (10-19),North,Semi-Furnished,2,2,9.7,1,1,1,1,7095,8.2,1.7,3,0,Resale,High,454.75,416.55499999999984
33,PROP-003919,Bangalore,HSR Layout,Standard,Independent House,4,4,1,2128,1804,0,3,Ground,North-East,Semi-Furnished,5,5,7.0,0,0,1,0,3086,17.8,0.5,2,0,Resale,Low,179.02,173.63200000000023
34,PROP-038479,Delhi,Dwarka,Standard,Villa,4,5,1,2157,1894,3,12,Low (1-4),South,Semi-Furnished,7,5,7.8,0,0,1,1,3956,11.6,6.2,2,0,Resale,Low,167.28,149.3542
35,PROP-021124,Delhi,Noida Sector 62,Standard,Studio,1,1,2,498,427,10,17,High (10-19),East,Unfurnished,11,0,5.0,0,0,1,1,866,14.1,0.5,4,1,Resale,Low,12.29,22.789799999999985
36,PROP-049718,Hyderabad,Jubilee Hills,Premium,Apartment,3,3,2,1213,1050,0,3,Ground,North,Unfurnished,3,2,7.6,0,0,1,0,2752,8.2,0.3,4,2,Resale,Low,145.39,144.07539999999983
37,PROP-042295,Delhi,Noida Sector 62,Standard,Villa,2,3,1,1349,1091,11,18,High (10-19),West,Semi-Furnished,0,2,7.8,1,1,0,1,7039,11.8,0.3,3,0,Resale,Low,104.36,109.17070000000005
38,PROP-047610,Hyderabad,Banjara Hills,Premium,Villa,5,5,2,2511,2055,14,23,High (10-19),East,Unfurnished,7,5,10.0,1,1,1,1,6906,6.4,1.7,3,0,Resale,High,385.47,374.99570000000045
39,PROP-011077,Bangalore,Koramangala,Premium,Villa,5,4,1,2632,2266,18,25,High (10-19),South,Fully Furnished,1,2,9.5,1,1,1,1,6404,4.7,4.1,2,3,Resale,High,426.56,447.6081999999998
40,PROP-041515,Bangalore,Indiranagar,Premium,Apartment,2,3,2,967,841,4,10,Low (1-4),North,Semi-Furnished,11,0,6.2,0,0,1,1,2501,7.0,4.9,6,4,Resale,Low,137.6,133.6957000000001
41,PROP-022063,Hyderabad,Jubilee Hills,Premium,Apartment,3,3,1,1402,1166,24,26,Top (20+),South-West,Unfurnished,14,2,7.2,1,0,0,1,4779,7.1,0.3,5,1,New,Low,163.26,162.67540000000017
42,PROP-009414,Hyderabad,Kondapur,Standard,Apartment,3,3,3,1446,1266,6,13,Mid (5-9),West,Unfurnished,2,2,2.7,0,0,0,1,1985,16.8,12.1,1,1,New,Low,122.45,122.72220000000004
43,PROP-038341,Hyderabad,Kondapur,Standard,Apartment,5,5,1,2313,1946,8,12,Mid (5-9),South-West,Fully Furnished,6,3,4.3,0,0,0,1,3277,12.2,3.0,2,2,Resale,High,217.45,231.74280000000016
44,PROP-030264,Mumbai,Bandra,Premium,Villa,5,6,1,2717,2323,7,8,Mid (5-9),West,Unfurnished,1,2,8.5,1,1,1,1,7108,8.0,2.4,6,1,Resale,High,405.6,399.4832999999996
45,PROP-041253,Mumbai,Bandra,Premium,Apartment,5,6,2,2033,1756,5,7,Mid (5-9),North,Semi-Furnished,15,4,6.4,1,1,1,1,6322,6.8,0.6,6,1,Resale,High,225.62,297.41900000000004
46,PROP-014645,Hyderabad,Banjara Hills,Premium,Studio,1,1,0,382,311,2,5,Low (1-4),East,Unfurnished,1,2,5.3,0,1,1,1,3714,5.0,0.3,2,6,Resale,Low,52.73,55.14939999999994
47,PROP-026336,Hyderabad,Gachibowli,Standard,Studio,1,1,2,380,331,12,18,High (10-19),East,Semi-Furnished,0,1,4.7,0,0,1,1,1818,13.6,3.1,4,5,Resale,Low,25.19,30.699699999999996
48,PROP-028103,Bangalore,Indiranagar,Premium,Apartment,2,3,4,896,772,17,18,High (10-19),North-East,Semi-Furnished,1,3,7.0,0,0,1,1,2491,5.8,1.2,5,0,Resale,Low,163.55,134.61669999999995
49,PROP-017524,Bangalore,Indiranagar,Premium,Studio,1,1,1,454,373,5,6,Mid (5-9),North-East,Unfurnished,4,1,7.7,1,1,1,1,5201,6.2,1.4,7,2,New,Low,79.46,73.50220000000002
50,PROP-024713,Mumbai,Thane,Affordable,Independent House,4,4,2,2192,1849,6,8,Mid (5-9),North,Fully Furnished,25,1,6.4,0,0,1,1,2553,22.0,2.8,3,1,Resale,Low,96.03,97.89659999999999
51,PROP-040486,Bangalore,Electronic City,Standard,Studio,1,1,2,587,474,2,4,Low (1-4),North,Fully Furnished,3,2,5.9,0,0,1,1,2524,14.7,3.8,2,2,Resale,Low,31.1,34.973899999999965
52,PROP-003851,Delhi,Dwarka,Standard,Villa,4,4,2,2231,1915,6,8,Mid (5-9),West,Unfurnished,1,5,8.6,1,0,1,1,4784,11.3,1.6,2,1,New,High,220.68,233.79169999999988
53,PROP-040041,Mumbai,Bandra,Premium,Villa,5,6,3,2662,2199,7,16,Mid (5-9),North,Unfurnished,6,5,9.2,1,1,1,1,6967,4.6,0.3,1,3,Resale,High,315.04,341.56790000000035
54,PROP-015268,Bangalore,Electronic City,Standard,Independent House,5,5,4,2837,2355,7,10,Mid (5-9),North-East,Fully Furnished,1,2,4.5,0,0,1,1,4530,18.7,3.3,2,2,Resale,Low,187.73,155.3754
55,PROP-049147,Mumbai,Bandra,Premium,Studio,1,1,1,476,404,19,26,High (10-19),East,Semi-Furnished,1,0,6.4,1,0,1,1,3279,6.4,0.9,7,3,New,Low,85.15,79.8238999999999
56,PROP-030002,Bangalore,Whitefield,Standard,Villa,3,3,1,1819,1465,10,16,High (10-19),North,Unfurnished,2,2,6.6,1,0,1,1,5261,10.4,0.2,2,1,Resale,High,220.24,215.49770000000015
57,PROP-045927,Delhi,Noida Sector 62,Standard,Apartment,2,1,1,932,782,0,18,Ground,West,Semi-Furnished,0,3,5.5,0,0,1,0,2469,10.3,2.3,2,1,New,Low,118.03,104.80900000000005
58,PROP-043825,Bangalore,Whitefield,Standard,Studio,1,2,1,323,263,2,8,Low (1-4),North-West,Semi-Furnished,8,0,5.8,0,0,0,1,1838,11.4,0.7,3,0,New,Low,32.1,27.118399999999973
59,PROP-017241,Mumbai,Navi Mumbai,Affordable,Apartment,3,4,2,1326,1146,6,11,Mid (5-9),North-East,Fully Furnished,11,1,4.9,0,0,0,1,2405,18.9,4.9,5,0,Resale,Low,61.68,56.37230000000002
60,PROP-004893,Delhi,Dwarka,Standard,Independent House,4,4,1,2199,1824,16,22,High (10-19),South,Semi-Furnished,11,5,4.6,0,0,0,1,2321,17.5,5.5,2,3,Resale,Low,160.97,156.37210000000002
61,PROP-000726,Bangalore,HSR Layout,Standard,Studio,1,2,1,597,505,20,25,Top (20+),South,Semi-Furnished,1,1,5.4,0,0,1,1,2017,10.1,10.5,1,2,Resale,Low,59.94,55.01050000000002
62,PROP-022950,Bangalore,Electronic City,Standard,Studio,1,1,1,423,365,2,10,Low (1-4),North-East,Fully Furnished,9,2,6.2,0,0,1,1,2074,14.7,0.1,1,3,Resale,Low,38.24,33.01129999999998
63,PROP-034658,Bangalore,Electronic City,Standard,Studio,1,1,0,438,357,7,8,Mid (5-9),West,Semi-Furnished,16,3,5.0,1,0,0,1,3727,11.6,4.1,2,1,New,Low,14.37,23.455299999999962
64,PROP-037214,Bangalore,Koramangala,Premium,Studio,1,1,0,436,376,28,34,Top (20+),East,Unfurnished,1,0,6.1,0,1,1,1,3876,4.1,0.2,4,2,Resale,Low,67.05,63.782500000000056
65,PROP-020305,Mumbai,Bandra,Premium,Independent House,5,6,2,2638,2123,18,22,High (10-19),South,Semi-Furnished,0,4,7.6,1,0,1,1,4655,12.4,8.7,6,0,Resale,High,477.45,461.9988999999994
66,PROP-015270,Hyderabad,Banjara Hills,Premium,Apartment,1,1,0,565,494,8,16,Mid (5-9),North-West,Unfurnished,2,0,7.1,1,0,1,1,3374,13.8,3.0,5,5,Resale,Low,74.99,75.05649999999991
67,PROP-022368,Delhi,South Delhi,Premium,Apartment,3,4,1,1305,1076,7,12,Mid (5-9),North,Semi-Furnished,9,3,6.9,1,0,0,1,3891,7.3,3.0,3,4,New,Low,172.14,170.44379999999992
68,PROP-042685,Mumbai,Powai,Standard,Studio,1,1,1,573,481,10,15,High (10-19),East,Fully Furnished,6,4,5.6,1,0,1,1,2993,17.2,0.7,2,1,New,Low,42.01,44.992700000000085
69,PROP-046735,Delhi,Noida Extension,Affordable,Apartment,2,2,3,715,592,1,2,Low (1-4),South-West,Semi-Furnished,16,1,6.4,0,0,0,0,1653,19.8,1.3,1,3,Resale,Low,50.1,41.664599999999965
70,PROP-011733,Bangalore,Indiranagar,Premium,Apartment,5,4,4,2458,2054,0,11,Ground,South-East,Unfurnished,1,4,7.3,1,0,1,0,4218,4.5,2.1,3,2,New,High,401.37,366.27919999999983
71,PROP-018620,Bangalore,HSR Layout,Standard,Apartment,3,3,0,1335,1137,11,13,High (10-19),South,Fully Furnished,1,2,3.6,0,0,0,1,3212,14.2,3.0,3,0,Resale,Low,117.19,121.2966
72,PROP-048493,Mumbai,Thane,Affordable,Apartment,3,4,3,1475,1263,5,14,Mid (5-9),South-West,Semi-Furnished,1,1,4.8,1,0,0,1,3575,19.6,1.3,3,2,Resale,Low,120.03,98.70800000000003
73,PROP-026804,Mumbai,Andheri,Standard,Villa,5,4,2,2568,2224,27,33,Top (20+),South-West,Unfurnished,13,5,6.3,1,0,0,1,4657,14.7,0.6,3,4,New,High,264.58,258.3338000000003
74,PROP-044306,Delhi,Gurgaon DLF,Premium,Independent House,5,6,3,2374,1924,9,11,Mid (5-9),North-West,Unfurnished,20,2,7.4,1,1,1,1,7563,4.1,2.3,9,2,Resale,High,278.93,287.6560000000001
75,PROP-047523,Hyderabad,Banjara Hills,Premium,Row House,5,5,4,2243,1820,11,17,High (10-19),North,Semi-Furnished,2,3,7.5,0,1,1,1,6406,8.6,3.6,5,2,Resale,High,465.97,366.45120000000003
76,PROP-032208,Mumbai,Thane,Affordable,Apartment,3,2,2,1205,965,6,7,Mid (5-9),North,Unfurnished,1,1,2.9,0,0,0,1,2960,18.2,0.2,4,1,Resale,Low,67.26,61.087200000000095
77,PROP-002531,Bangalore,Whitefield,Standard,Independent House,5,5,0,2504,2050,14,22,High (10-19),West,Semi-Furnished,1,2,6.0,0,0,1,1,3504,10.1,1.1,5,0,Resale,High,254.82,248.90239999999994
78,PROP-017747,Bangalore,Indiranagar,Premium,Row House,4,4,0,1718,1491,5,11,Mid (5-9),East,Unfurnished,2,1,6.3,1,1,1,1,6729,5.8,5.8,6,1,Resale,High,202.2,231.69240000000025
79,PROP-008271,Hyderabad,Kondapur,Standard,Apartment,2,2,1,986,807,9,11,Mid (5-9),West,Fully Furnished,5,2,5.0,1,0,0,1,3718,12.4,0.4,3,2,New,Low,119.02,79.78780000000002
80,PROP-015080,Bangalore,Koramangala,Premium,Apartment,5,5,1,2483,2067,11,20,High (10-19),South-East,Semi-Furnished,13,1,6.5,1,1,1,1,6702,5.3,1.2,6,0,New,High,326.38,334.26160000000027
81,PROP-013625,Hyderabad,Gachibowli,Standard,Villa,3,4,2,1941,1600,0,5,Ground,South,Semi-Furnished,13,5,6.3,0,1,1,0,4761,14.7,2.1,4,4,Resale,Low,161.49,154.4154999999999
82,PROP-030639,Mumbai,Andheri,Standard,Apartment,2,2,0,882,727,6,9,Mid (5-9),North-East,Semi-Furnished,0,0,4.3,0,1,0,1,4785,11.3,0.1,1,0,Resale,Low,69.71,75.22050000000002
83,PROP-030441,Delhi,Noida Sector 62,Standard,Independent House,4,4,1,2472,2157,4,6,Low (1-4),North-West,Semi-Furnished,6,2,5.5,1,0,1,1,5537,12.1,1.3,5,1,Resale,High,199.14,227.58409999999992
84,PROP-036057,Delhi,Dwarka,Standard,Independent House,5,5,3,2461,2147,33,34,Top (20+),West,Semi-Furnished,2,0,4.3,0,0,0,1,3438,12.0,0.5,2,0,Resale,High,201.58,221.0177000000003
85,PROP-042652,Mumbai,Andheri,Standard,Independent House,4,4,3,2354,2000,15,21,High (10-19),East,Unfurnished,4,4,3.7,0,0,1,1,3284,10.1,0.9,5,3,New,Low,167.14,162.89219999999995
86,PROP-036804,Mumbai,Bandra,Premium,Apartment,5,5,3,2299,1956,5,12,Mid (5-9),South-West,Semi-Furnished,11,4,5.5,1,1,1,1,6586,10.7,0.3,5,0,Resale,High,269.63,316.7776999999998
87,PROP-048225,Bangalore,Indiranagar,Premium,Apartment,3,4,2,1500,1283,10,13,High (10-19),South-West,Unfurnished,2,0,5.9,1,0,1,1,3907,12.0,4.5,0,1,Resale,High,225.11,224.6072
88,PROP-029227,Hyderabad,Gachibowli,Standard,Villa,3,4,1,1783,1489,11,15,High (10-19),West,Semi-Furnished,4,2,5.5,1,1,0,1,6448,10.6,3.2,2,0,New,High,190.87,205.52200000000005
89,PROP-005634,Bangalore,HSR Layout,Standard,Apartment,2,3,1,1022,886,7,8,Mid (5-9),South-West,Semi-Furnished,1,1,4.5,0,0,1,1,2243,12.4,0.2,2,0,Resale,Low,74.06,81.17339999999999
90,PROP-005988,Bangalore,Electronic City,Standard,Row House,5,5,1,2162,1745,17,26,High (10-19),West,Semi-Furnished,19,2,4.8,0,0,1,1,3370,11.3,2.9,2,1,Resale,Low,157.33,155.57959999999994
91,PROP-048064,Delhi,Noida Extension,Affordable,Villa,5,5,4,2792,2345,0,15,Ground,North,Fully Furnished,14,3,7.8,0,0,1,0,3288,18.7,4.3,3,2,Resale,Low,112.93,117.43920000000011
92,PROP-001813,Delhi,Noida Extension,Affordable,Apartment,5,5,0,2340,2017,8,11,Mid (5-9),South,Unfurnished,0,4,4.3,0,0,0,1,3076,18.8,2.3,1,1,New,Low,95.1,108.58620000000013
93,PROP-027579,Bangalore,Whitefield,Standard,Villa,4,4,1,2151,1791,7,15,Mid (5-9),North,Semi-Furnished,0,5,7.6,1,0,1,1,4450,12.1,1.4,4,0,Resale,High,235.15,232.13860000000014
94,PROP-016824,Bangalore,HSR Layout,Standard,Apartment,2,2,0,1011,859,4,13,Low (1-4),West,Unfurnished,3,1,5.0,0,1,1,1,3986,12.2,0.1,3,1,Resale,Low,94.44,82.57099999999998
95,PROP-003929,Mumbai,Bandra,Premium,Independent House,3,3,0,1592,1380,4,13,Low (1-4),North,Unfurnished,2,5,7.2,0,1,1,1,4950,10.8,2.2,7,0,Resale,High,298.6,278.9007999999997
96,PROP-037287,Mumbai,Andheri,Standard,Penthouse,4,5,3,2189,1753,12,15,High (10-19),South-East,Fully Furnished,1,2,5.8,1,0,1,1,4112,13.3,6.1,2,0,Resale,High,217.62,242.28919999999994
97,PROP-025046,Bangalore,Electronic City,Standard,Apartment,2,2,1,596,493,3,11,Low (1-4),North,Semi-Furnished,7,1,2.3,0,0,0,1,2494,12.7,0.8,4,1,Resale,Low,36.55,39.44500000000004
98,PROP-015728,Hyderabad,Jubilee Hills,Premium,Independent House,5,4,4,2708,2380,9,15,Mid (5-9),North,Semi-Furnished,12,3,6.3,0,1,1,1,5652,7.7,0.1,6,2,Resale,High,342.95,353.90220000000016
99,PROP-029601,Mumbai,Bandra,Premium,Apartment,3,3,4,1130,986,16,17,High (10-19),South,Semi-Furnished,12,3,5.3,1,0,1,1,3779,4.7,1.1,3,1,Resale,Low,131.22,137.85419999999993
100,PROP-010431,Delhi,Noida Sector 62,Standard,Apartment,3,3,3,1219,1065,6,8,Mid (5-9),South,Semi-Furnished,11,1,4.7,0,0,1,1,2783,13.7,0.4,0,2,New,Low,94.2,91.11259999999997
101,PROP-025769,Bangalore,HSR Layout,Standard,Apartment,2,2,0,1035,864,3,4,Low (1-4),North-East,Semi-Furnished,27,1,5.3,0,0,0,1,3005,12.1,0.1,5,2,Resale,Low,63.08,75.62309999999998
102,PROP-029104,Delhi,Noida Sector 62,Standard,Independent House,5,5,1,2768,2410,6,8,Mid (5-9),South,Semi-Furnished,1,3,3.5,0,0,0,1,3969,11.2,9.5,4,1,New,Low,162.3,162.29019999999977
103,PROP-036538,Bangalore,Whitefield,Standard,Studio,1,1,0,309,272,8,9,Mid (5-9),North,Unfurnished,12,1,4.2,0,0,1,1,1912,20.1,4.8,2,3,Resale,Low,15.05,17.010099999999987
104,PROP-039329,Bangalore,Koramangala,Premium,Row House,3,3,3,1149,965,9,17,Mid (5-9),North,Unfurnished,0,2,7.7,0,1,1,1,3748,8.0,2.7,5,0,Resale,Low,142.67,151.3223
105,PROP-035540,Delhi,South Delhi,Premium,Apartment,2,3,0,849,741,6,14,Mid (5-9),West,Fully Furnished,2,1,6.2,0,1,1,1,5048,4.5,2.9,5,3,Resale,Low,119.76,125.96820000000014
106,PROP-028076,Hyderabad,Banjara Hills,Premium,Villa,4,3,0,2228,1929,0,15,Ground,East,Unfurnished,2,4,8.7,1,1,1,0,7321,8.0,2.2,6,5,Resale,High,291.53,308.28539999999975
107,PROP-017841,Bangalore,Koramangala,Premium,Penthouse,3,3,2,1539,1239,13,20,High (10-19),East,Fully Furnished,3,4,9.0,1,1,1,1,5472,5.7,1.6,5,1,Resale,High,301.94,288.7484999999998
108,PROP-027803,Hyderabad,Banjara Hills,Premium,Apartment,2,2,2,1076,896,16,20,High (10-19),North-East,Unfurnished,2,1,5.8,1,0,1,1,4383,4.4,1.3,6,4,Resale,Low,141.45,146.2957000000002
109,PROP-007683,Delhi,South Delhi,Premium,Independent House,3,3,1,1779,1486,8,9,Mid (5-9),North-West,Semi-Furnished,9,0,6.4,1,1,1,1,6736,14.0,1.0,1,3,Resale,High,277.19,269.5638999999999
110,PROP-024280,Bangalore,Koramangala,Premium,Apartment,2,3,2,854,732,6,9,Mid (5-9),North-East,Fully Furnished,5,1,6.6,1,0,1,1,2850,4.5,0.1,5,0,Resale,Low,91.17,100.50220000000003
111,PROP-033071,Hyderabad,Kondapur,Standard,Apartment,3,3,2,1473,1179,2,9,Low (1-4),West,Fully Furnished,9,2,2.6,0,0,1,1,2506,11.8,0.8,0,0,Resale,Low,94.77,124.90419999999999
112,PROP-035558,Hyderabad,Jubilee Hills,Premium,Apartment,3,3,1,1407,1180,7,13,Mid (5-9),North-West,Unfurnished,5,2,6.6,1,1,1,1,5683,4.1,7.2,7,2,Resale,Low,187.44,177.13510000000014
113,PROP-037190,Delhi,Noida Extension,Affordable,Independent House,5,5,3,2713,2369,0,6,Ground,North-West,Unfurnished,9,0,5.0,1,0,1,0,4788,22.7,12.3,0,0,Resale,Low,108.02,105.18640000000013
114,PROP-047150,Bangalore,Koramangala,Premium,Apartment,3,3,1,1457,1227,19,26,High (10-19),North-West,Fully Furnished,4,3,5.4,1,0,0,1,4839,5.3,0.3,3,3,Resale,High,261.14,251.0742999999998
115,PROP-046916,Hyderabad,Gachibowli,Standard,Studio,1,1,2,583,500,5,10,Mid (5-9),North-East,Fully Furnished,6,0,5.6,0,0,0,1,2273,17.1,4.0,2,2,Resale,Low,40.81,48.07660000000001
116,PROP-009802,Hyderabad,Kondapur,Standard,Apartment,2,3,3,806,702,32,33,Top (20+),South-East,Unfurnished,12,2,5.3,0,0,1,1,1985,13.1,5.6,1,3,New,Low,73.07,71.00119999999997
117,PROP-038801,Delhi,Noida Extension,Affordable,Row House,3,3,1,1322,1154,0,13,Ground,East,Semi-Furnished,11,0,6.7,0,0,1,0,3922,23.4,0.4,2,5,Resale,Low,49.46,52.831500000000005
118,PROP-024670,Delhi,Noida Sector 62,Standard,Penthouse,4,4,3,2029,1686,6,7,Mid (5-9),North,Unfurnished,4,3,6.0,1,1,1,1,6581,10.9,7.0,3,2,Resale,Low,105.84,125.24140000000008
119,PROP-044234,Delhi,Gurgaon DLF,Premium,Studio,1,2,0,402,338,0,18,Ground,North-West,Semi-Furnished,5,0,7.0,1,1,1,0,5006,5.1,2.3,4,3,Resale,Low,76.28,70.52119999999996
120,PROP-031920,Delhi,Gurgaon DLF,Premium,Row House,4,4,1,1721,1504,33,34,Top (20+),North-East,Fully Furnished,4,3,5.7,1,1,1,1,6586,6.5,0.1,2,2,Resale,High,339.07,316.88029999999986
